department,avg_rating
art_profs,3.193103448275862
bio_profs,3.3875000000000006
business_profs,4.091304347826086
chem_profs,3.8079999999999994
comms_profs,3.8299999999999996
econ_profs,3.2576923076923077
eecs_profs,3.6983333333333333
engl_profs,4.171875
environ_profs,4.069230769230769
history_profs,3.896666666666667
infosci_profs,3.35
ioe_profs,3.676923076923077
math_profs,3.6166666666666667
mech_profs,3.816666666666667
music_profs,3.7999999999999994
nursing_profs,3.464705882352941
physics_profs,3.8000000000000007
polisci_profs,3.695833333333333
psych_profs,4.095652173913043
stats_profs,3.1772727272727277
