department,num_ratings
art_profs,14.620689655172415
bio_profs,70.5
business_profs,9.782608695652174
chem_profs,74.04
comms_profs,18.3
econ_profs,68.42307692307692
eecs_profs,25.933333333333334
engl_profs,21.390625
environ_profs,15.384615384615385
history_profs,29.666666666666668
infosci_profs,13.625
ioe_profs,14.384615384615385
math_profs,13.516666666666667
mech_profs,18.444444444444443
music_profs,6.923076923076923
nursing_profs,15.294117647058824
physics_profs,47.57142857142857
polisci_profs,43.5
psych_profs,51.56521739130435
stats_profs,34.54545454545455
